overview,name
The bizarre adventures of Cleveland Brown and his family.,The Cleveland Show
"A surreal take on transitioning from 20-something to 30-something centering on a married couple juggling such everyday challenges as parenthood, friendship, ham theft, stripper clowns and choosing the right day care.",Close Enough
"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",Altered Carbon
,Dalli Dalli
"Mr. Novak is an American dramatic series starring James Franciscus in the title role, which aired on NBC for two seasons, from 1963 to 1965.",Mr. Novak
"“Nazaré” is a contemporary love story in a reality that plagues the country every summer. It is a narrative about the struggle of those who are defeated by flames, rebirth and hope.",Nazaré
Spoed is a Belgian action drama TV series produced in the Dutch language in Belgium since 2000. The series is also shown on both Flemish/Belgian TV and Dutch TV. The series is directed by Johan Thiels and Guy Thys. The series has produced 217 episodes to date. It may be compared to the American TV programs ER or Chicago Hope.,Spoed
"Jenny Cooper investigates unexplained or sudden deaths in the city of Toronto. Fierce and quick-witted, Jenny is a newly-widowed single mother with secrets of her own to unearth.",Coroner
"Zeynep is an innocent and beautiful girl who's very fond of her mother. One day, her mother Cemre dies in an accident. No one can bring themselves to tell Zeynep that her mother is dead. Zeynep was born with a heart condition and she is not strong enough to bear the news. When she was dying, Zeynep's mother is slandered so that Murat, who used to love her madly, now hates her deeply. Now that Asude, her grandmother has the perfect conditions to make Murat marry Melek, the woman she'd like to see as her daughter-in-law. The night that Zeynep finds out about her mother's death, she also finds out that Murat is to marry Melek and she has an attack. When Zeynep's heart is about to stop, a miracle happens. Zeynep comes across Nazli, who looks exactly like her mother.",A Mother's Love
"The series is named after a small part of Saltsjöbaden called Solsidan. It revolves around Alex and Anna who are expecting their first child and have just moved to Alex's childhood home in Saltsjöbaden, Stockholm County. Alex tries to get Anna to enjoy herself, and at the same time spend time with his childhood friend Fredde.",Solsidan
"Two young brothers are raised as alchemists, but when they are severely injured trying to perform a forbidden act, they begin searching for the one thing that can save them; the fabled philosopher's stone.",Fullmetal Alchemist
"An action-packed adventure series following a fun-loving, hard living trio of interplanetary bounty hunters (a.k.a. Killjoys) sworn to remain impartial as they chase deadly warrants around the Quad, a system of planets on the brink of revolution.",Killjoys
A mother and son fleeing from their past form a found family while confronting a harsh landscape of freedom and cruelty in the American West.,American Primeval
"Because of Gönül, Bülent and Feraye broke up, Bülent left home. Ege and Melis got married and moved in with Feraye, who was left alone. Zeynep buried her love in her heart and started a new life. The paths of Zeynep and Ege, who still love each other like crazy, separated due to Melis's pregnancy with Ege, will reunite with a painful loss. While all this is happening, Cihan, a young and strong man, enters Zeynep's life. Cihan is Seda's older brother. However, Cihan's powerful secret will not be able to stop his love. Although this secret brings Cihan and Ege face to face, the only thing the two men have in common is their love for Zeynep. Sıla was kidnapped by a fierce enemy of Kuzey. Kuzey has just realized his love for Sıla and searches for her everywhere. However, Cavidan, who is absolutely against Sıla and Kuzey coming together, will try to separate the two of them by using Alper. Cavidan's real plan is to marry Kuzey to her own daughter Bahar.",Love & Hope
"Branded is an American Western series which aired on NBC from 1965 through 1966, sponsored by Procter & Gamble in its Sunday night 8:30 p.m. Eastern Time period, and starred Chuck Connors as Jason McCord, a United States Army Cavalry captain who had been drummed out of the service following an unjust accusation of cowardice.",Branded
"Seiya Kanie, believes that the beautiful but reserved Isuzu Sento has invited him on a date at an amusement park called Amagi Brilliant Park. Much to his chagrin, not only is the location a run-down facility, the supposed date is merely a recruitment tour where Sento and Princess Latifa Fleuranza, the owner of the theme park, ask him to become the park's new manager. Their cause for desperation? As stipulated in a land-use contract, Amagi has less than three months to meet a quota of 500,000 guests, or the park will be closed for good and the land redeveloped by a greedy real-estate company.

Seiya is won over by the revelation that Amagi is no ordinary amusement park; many of its employees are mysterious magical beings who live in the human world and are nourished by the energy created by people having fun. Entrusted with the hopes and dreams of this far-off enchanted land, Seiya must now use his many skills to bring Amagi back on its feet, or watch it crumble before his eyes.",Amagi Brilliant Park
"Die Pfefferkörner is a German television series produced by Der Kinderkanal.

The peppercorns are five friends from Hamburg: Jana Holstein Coutre, Natasha ""Tascha"" Jaonzäns, Philip ""Fiete"" Overbeck, Cem Gülec and Vivien ""Vivi"" Overbeck, Fiete's eight year old sister. After school, the young detectives meet at a high level of a spice warehouse of the company Overbeck &amp; Associates, which belongs to Fiete and Vivi's parents in the first part, but is later given to Fiete and Vivi to look after. Here, in the historic warehouse district, the five friends have their headquarters.

With smarts, combined delivery and support of the Internet, they find their cases here. The detectives convict polluters, animal dealers and drug smugglers. They also help each other with personal problems they encounter. Cem has lost his parents in a car accident and sometimes feels sad and lonely. Jana lives with her divorcee mother, a lawyer who is rarely at home. Natasha comes from Latvia. Her parents initially have very strict rules in terms of her education, that make Natasha unhappy. Fiete has problems showing his feelings and hides them behind grumpiness and hostility towards girls, until he falls in love with Natasha. Vivi is suffering from her role of the youngest member of the group. She believes that she must constantly struggle for recognition.",The Peppercorns
,The Single Guy
Follow the lives of an elite group of young dancers who train at The Next Step Studio.,The Next Step
"Detective Catherine Chandler is a smart, no-nonsense homicide detective. When she was a teenager, she witnessed the murder of her mother at the hands of two gunmen and herself was saved by someone – or something. Years have passed and while investigating a murder, Catherine discovers a clue that leads her to Vincent Keller, who was reportedly killed in 2002. Catherine learns that Vincent is actually still alive and that it was he who saved her many years before. For mysterious reasons that have forced him to live outside of traditional society, Vincent has been in hiding for the past 10 years to guard his secret – when he is enraged, he becomes a terrifying beast, unable to control his super-strength and heightened senses.",Beauty and the Beast
,Topfgeldjäger
"In 1960, seven outcast kids known as ""The Losers' Club"" fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.",It
"Iconoclasts is a Sundance Channel show. Each episode pairs two ""creative visionaries"" who discuss their lives, influences, and art, most of whom are longtime friends with the other person featured in the episode. The series premiered on November 17, 2005, and has had six six-episode seasons.",Iconoclasts
"When the crew of the Kinloch Bravo find themselves cut off from all communication with the Scottish mainland by a mysterious fog, they must fight to find a way home whilst managing environmental pressures, mounting paranoia and rising tensions. But as the threat facing them reveals itself to be something beyond their wildest imagination, the divided crew must form an alliance to ensure survival.",The Rig
"Azize finds herself with her 3 children and mother-in-law in a difficult fight. She raises her children while fighting the difficulties of the war period and her husband's absence whom she loves more than anything. It's about war, love, greed, treason and sacrifice.",Wounded Love
"American Dragon is a coming of age comedy-action series about Jake Long, a 13-year-old Asian-American boy who strives to find balance in his life as a skateboard-grinding, New York 'tween while learning to master his mystical powers (in his secret identity) as the American Dragon, the protector and guardian of all magical creatures secretly living amidst the human world.",American Dragon: Jake Long
"Every last Thursday of the month at an all-girls high school, the students of Class 2–5 cast their votes in a popularity poll. The results classify them into Grades A, B, C, D, and F. If they fall into Grade F, they become legitimate victims of school violence.",Pyramid Game
"The Tribe is a New Zealand/British post-apocalyptic fictional TV series primarily aimed at teenagers. It is set in a near-future in which all adults have been wiped out by a deadly virus, leaving the children of the world to fend for themselves. The show's focus is on an unnamed city inhabited by tribes of children and teenagers. It was primarily filmed in and around Wellington, New Zealand.

The series was created by Raymond Thompson and Harry Duffin and was developed and produced by the Cloud 9 Screen Entertainment Group in conjunction with the UK's Channel 5. It has aired on over 40 broadcast networks around the world.",The Tribe
"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",Your Lie in April
"In the wake of the Coronavirus pandemic and theatres across the world closing their curtains indefinitely, SiriusXM host Seth Rudetsky and his husband, producer James Wesley have created Stars in the House, a daily live streamed series to support The Actors Fund and its services.",Stars in the House
"A samurai lord has bartered away his newborn son's organs to forty-eight demons in exchange for dominance on the battlefield. Yet, the abandoned infant survives thanks to a medicine man who equips him with primitive prosthetics—lethal ones with which the wronged son will use to hunt down the multitude of demons to reclaim his body one piece at a time, before confronting his father. On his journeys the young hero encounters an orphan who claims to be the greatest thief in Japan.",Dororo
"The Hitter, the Hacker, the Grifter and the Thief are together again, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. From the man who created an opioid crisis from the comfort of his boardroom to the shadowy security firm that helps hide dangerous secrets for a price - when someone needs help, they provide... Leverage.",Leverage: Redemption
"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",Dark Desire
"On the winter solstice, Yang Yuan’s son vanishes after sneaking into a neighbor's house. Meanwhile, Yuan Wu deals with his father’s sudden death, and Lin Chuping experiences a frightening incident with no memory of the attacker. These seemingly unrelated events begin to connect as the characters search for answers.",The Disappearing Child
"This imaginative and music-filled animated series that follows the adventures of the Pupstruction team – a doggone hard-working construction crew that ranges from some of the brawniest breeds to irresistibly cute and playful puppies. It centers on Phinny, an innovative young corgi, who might be the smallest pup on the crew but proves that you don’t need big paws to have big dreams or big ideas.",Pupstruction
"In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.",Velvet
Follow the unexpected romance between a new hire at a computer graphics company and a skilled designer over the course of 14 months.,"Senpai, This Can't Be Love!"
,Arrayán
"Basta't Kasama Kita was an ABS-CBN primetime series starring Robin Padilla and Judy Ann Santos. The show also aired worldwide on ABS-CBN's The Filipino Channel and on a two-week delay on the International Channel in the United States.

The TV series re-aired on the defunct Pinoy Central TV in 2005-2006 and in 2010-2011 it re-aired on Kapamilya Channel, an affiliate of ABS-CBN's The Filipino Channel",Basta't Kasama Kita
"Der Fahnder is a German television krimi series which was aired between 1984 and 2005.

In the Netherlands the series was broadcast by the VARA from 3 October 1985.",Der Fahnder
"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.",Dr. STONE
,征服情海
"The lives of several families in the Yorkshire Dales revolve around a farm and the nearby village. With murders, affairs, lies, deceit, laughter and tears, it's all there in the village.",Emmerdale
"Rejoin Goku and his friends in a series of cosmic battles! Toei has redubbed, recut, and cleaned up the animation of the original 1989 animated series. The show's story arc has been refined to better follow the comic book series on which it is based. The show also features a new opening and ending. In the series, martial artist Goku, and his various friends, battle increasingly powerful enemies to defend the world against evil. Can Earth's defender defeat demons, aliens, and other villains?",Dragon Ball Z Kai
"When Song Xiaoyu is unexpectedly pulled into a scripted world as a tragic heroine fated to be discarded by the villainous male lead, she tries to escape, only to be trapped in an endless loop of fatal outcomes each time she strays from the plot. No matter how hard she resists, the story keeps pushing her toward Nan Heng, the cold and calculating lead. As she navigates this paper-thin world where every character is bound by fate, Song Xiaoyu must fight not just for her survival, but for control over her own story.",A Dream Within a Dream
"Everybody has theories that they personally cling blindly to regardless of proof or scientific validity. In this entertaining information program, a host of celebrities present their cases for pet theories to studio guests by any means be it academic argument or laughably “out there” logic. Can their theories gain acceptance? Or will they be discarded as pop science that only adds confusion to the world? Find out through exhaustive examination including on-location experiments!",Wednesday Downtown
A comedy about a working class Chicago couple who find love at an Overeaters Anonymous meeting.,Mike & Molly
"Brash humor and genuine emotion make up this original series revolving around the lives, loves, ambitions, careers and friendships of a group of gay men and women living on Liberty Avenue in contemporary Pittsburgh, PA. The show offers an unapologetic look at modern, urban gay and lesbian lives while addressing the most critical health and political issues affecting the community. Sometimes racy, sometimes sensitive and always straight to the heart.",Queer As Folk
A family of friendly monsters that have misadventures all while never quite understanding why people react to them so strangely.,The Munsters
"Misaka's electro-manipulation skills - and her delightfully destructive railgun projectile movement - make her a rock star in Academy City. The techno-metropolis is filled with supernaturally powerful students known as Espers, including Misaka's flirtatious friend and roommate, Shirai Kuroko. She uses her teleportation skills as a member of the Judgment law enforcement team, fighting crime alongside fellow agent Uiharu. Joined by their friend Saten, a spunky Level 0 Esper, Misaka, Kuroko, and Uiharu have a blast taking on danger whenever and wherever it arises.",A Certain Scientific Railgun
"Dr. Bashir Hamed, a Syrian doctor with battle-tested skills in emergency medicine, makes the difficult decision to flee his country and build a new life in Canada with his younger sister Amira. Bash works to navigate a new environment after earning a coveted residency in the Emergency Department of one of the best hospitals in Toronto, York Memorial.",Transplant
"In 1977, Daisy Jones & The Six were on top of the world. Fronted by two charismatic lead singers — Daisy Jones and Billy Dunne — the band had risen from obscurity to fame. And then, after a sold-out show at Chicago's Soldier Field, they called it quits. Now, decades later, the band members finally agree to reveal the truth.",Daisy Jones & the Six
"Access Hollywood is a weekday television entertainment news program covering events and celebrities in the entertainment industry. It was created by former Entertainment Tonight executive producer Jim Van Messel, and is currently directed by Robert Silverstein. In previous years, Doug Dougherty and later Christopher A. Berry directed the program. Access Hollywood primarily focuses on news in the music, television, and film industries.

The United States version began broadcasting on September 9, 1996, and is nationally syndicated in the United States. In 2003, a British version of the show began production and in an Irish version began in 2006 airing on the now defunct Channel 6, now known as 3e. In Canada, CTV Two has aired the program since September 5, 2011.",Access Hollywood
The ground-breaking soap set in a housing estate on the outskirts of Liverpool.,Brookside
"How 2 was a British educational television show which ran on CITV between 1990 and 2006. It served as a modernised ""sequel"" to a 60’s / 70's series with the same format called 'How'. Each episode started with the presenters sitting around the studio table asking their own question starting with “How” and then taking turns answering these.

Subjects of science and history were often covered along with logic and word play puzzles.",How 2
"As Told by Ginger focuses on middle schooler Ginger Foutley who, with her friends, tries to become more than a social geek.",As Told by Ginger
"Kang Dong-Goo dreams of becoming a movie director, but he is cynical due to bad luck. Cheon Joon-Ki wanted to follow in his father's footsteps and become an actor, but he is now just a minor actor. Bong-Doo-Sik came to Seoul to become a scenario writer, but things have not been easy for him.",Welcome to Waikiki
"TAXA is a Danish television drama made by Danmarks Radio with 56 episodes, written by Stig Thorsboe and produced by Rumble Hammerich. The series revolves around a small taxi central, CrownTaxi, in Copenhagen. The series was a success from the start, 14 September 1997 on DR1. The series was broadcast during the period 1997-1999 for a total of five series. CrownTaxi has its ups and downs and in the course of the series, following the various drivers, radio opertor Lizzie and boss Verner Boye-Larsen. They have all their problems both with clients and family life and constantly threaten the show's villain Hermann from the competing taxi firm, City Car, which wants to take over the CrownTaxi. TAXA was also screened in Sweden on SVT1.",Taxa
"Hiram was a TV drama series in the Philippines, popularly known as teleserye shown on ABS-CBN and worldwide on The Filipino Channel.",Hiram
"High school sophomore Kusuo Saiki swore as a child that he would keep his psychic talents hidden, but his abilities still make his life difficult.",The Disastrous Life of Saiki K.
,Chespirito
"The story revolves around Shu Ouma, a high school boy who inadvertently obtains an ability called ""The Power of the Kings"" that enables him to draw out items called ""Voids"" from other people. He is then thrown into the conflict between a resistance group called Funeral Parlor which aims to restore Japan's independence from a quasi-governmental organization known as the GHQ. In the process, Shu has to deal with the burden his ability puts on his shoulders and the horrific mystery of his past.",Guilty Crown
"To crack the code of an investigation into a larger-than-life robbery, federal agents need to get creative.",Criminal Code
,Midi trente
"Born on the 1st of January 1900 in a poor family in rural Sicily, Modesta pursues happiness since her childhood without falling victim to the constraints of society. After a tragic event that takes her away from her family, Modesta is welcomed into a monastery, where she becomes the Mother Superior’s protégé thanks to her intelligence and stubbornness. Later, she arrives at the villa belonging to the Princess of Brandiforti, where she makes herself indispensable. This relentless process of emancipation goes along with a journey of personal growth and sexual awakening, which lead her to discover and claim the right to pleasure and happiness.",The Art of Joy
Two Boys Making Videos,Smosh
,Yasemince
"The adventures of woodsman Richard Cypher, who discovers that he was born to fulfill a prophecy of becoming a guardian hero to oppressed people. With the help of a mysterious woman named Kahlan and a wise old wizard named Zedd, he must stop a ruthless and bloodthirsty tyrant from unleashing an ancient evil and enslaving the world.",Legend of the Seeker
"Green Acres is an American sitcom starring Eddie Albert and Eva Gabor as a couple who move from New York City to a rural country farm. Produced by Filmways as a sister show to Petticoat Junction, the series was first broadcast on CBS, from September 15, 1965 to April 27, 1971.

Receiving solid ratings during its six-year run, Green Acres was cancelled in 1971 as part of the ""rural purge"" by CBS. The sitcom has been in syndication and is available in DVD and VHS releases. In 1997, the two-part episode ""A Star Named Arnold is Born"" was ranked #59 on TV Guide's 100 Greatest Episodes of All Time.",Green Acres
Follow the adventures of a group of young cartoon characters who attend the Acme Looniversity to become the next generation of characters from the Looney Tunes series.,Tiny Toon Adventures
"After nearly three decades of being Santa Claus, Scott Calvin’s magic begins to falter. As he struggles to keep up with the demands of the job, he discovers a new clause that forces him to rethink his role as Santa and as a father.",The Santa Clauses
"Follow a younger Patrick Star living at home with his family, where he hosts his own variety show for the neighborhood from his television-turned-bedroom.",The Patrick Star Show
"Panty and Stocking are nasty angels who were banished from the pearly gates for being foul-mouthed bad girls! Now they spend their days hunting ghosts in the lecherous abyss between Heaven and Earth. Panty likes sex, Stocking likes sweets, and their afro-sporting main man Garterbelt has a fetish we can't mention.",Panty & Stocking with Garterbelt
,Yagit
,Blow Up
"Welcome to the House is a TVB modern sitcom series broadcast from April 2006 to March 2007.

The series surrounded the day-to-day lives of the Ko family.",Welcome to the House
"Pørni is about the dilemmas that you end up in when you, to the best of your abilities, try to do the right thing for your loved ones, and yourself. In that order. Pørni has two daughters with a jerk of an ex who has moved to Copenhagen, who focuses mainly on himself.",Pernille
"The 17-year-old Yatabe Mineko grew up in a family of seven in a mountain village in northeastern Ibaraki Prefecture. Her father Minoru has gone to Tokyo to work in order to earn extra money. However, her life completely changes when her father does not come back for the New Year. Mineko asks her family to let her go to Tokyo to find him and promises to send money home. In the autumn of 1964, she and two childhood friends Tokiko and Mitsuo are hired to start working at a small factory in Tokyo’s working class neighborhood. After work each day, Mineko searches for her father and gets disheartened at times. Mineko overcomes challenges and starts to lay down roots in Tokyo as she experiences many meetings and farewells amid the laughter and tears with regulars, people of the shopping street, friends, and colleagues. But will she be able to find her father?",Hiyokko
Tough and tenacious people are marooned on a tropical island with little more than the clothes on their backs and the drive to be the sole survivor.,Australian Survivor
"German soap opera about the staff of the fictional hospital ""Sachsenklinik"" in the city of Leipzig.",In aller Freundschaft
,家有日本妻
"8 Out of 10 Cats is a British television comedy panel game produced by Zeppotron for Channel 4. It was first broadcast on 3 June 2005. The show is based on statistics and opinion polls, and draws on polls produced by a variety of organizations and new polls commissioned for the programme, carried out by company Harris Poll. The show's title is derived from a well-known advertising tagline for Whiskas cat food, which originally claimed that ""8 out of 10 cats prefer Whiskas"".",8 Out of 10 Cats
,Deniz Yıldızı
"There was a time when the Hachimitsu Private Academy was a revered and elite all-girls' boarding school on the outskirts of Tokyo but a recent policy revision is allowing boys into the student body. On his first day, Kiyoshi Fujino discovers that he's one of only five boys enrolled at the school. Completely overwhelmed by the thousands of girls on campus, the few boys find that their situation is less than ideal.",Prison School
"Julia Sugarbaker, Mary Jo Shively, Charlene Frazier-Stillfield and Suzanne Sugarbaker are associates at their design firm, Sugarbaker and Associates. Julia is the owner and is very outspoken and strong-willed. Mary Jo is a divorced single-parent whom is just as strong-willed as Julia, but isn't as self-confident. Charlene is the naive and trusting farm girl from Poplar Bluff, Missouri. Suzanne is the self-centered ex-beauty queen whom has a number of wealthy ex-husbands.",Designing Women
"When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make Ömer, a wealthy shoe designer who owns a company, fall in love with her and marry her.",Love for Rent
"A family drama series that follows the lives of the Okakura family, focusing on the parents and their five daughters. It explores personal struggles, and societal issues through the interactions and conflicts among the family members.",Making It Through
"Ryūji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger."" One day, an embarrassing mistake causes the two students to cross paths. Ryūji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yūsaku Kitamura, who happens to be his best friend. But things only get crazier when Ryūji reveals that he has a crush on Minori Kushieda—Taiga's best friend! Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.",Toradora!
"Arrest and Trial is a 90-minute American crime/legal drama series that ran during the 1963-1964 season on ABC, airing Sundays from 8:30-10 p.m. Eastern.",Arrest and Trial
"Justin Russo has chosen to lead a normal, mortal life with his family, Giada, Roman and Milo. But when Justin's sister Alex brings Billie to his home seeking help, Justin realizes he must dust off his magical skills to mentor the wizard-in-training while also juggling his everyday responsibilities — and safeguarding the future of the Wizard World.",Wizards Beyond Waverly Place
"A female general with a gentle appearance but a strong inner spirit, and a male general with a cold exterior and internal but with stronger martial prowess. The two join forces to combat deceit, assist the weak, and eliminate external threats.",Legend of the Female General
Korean emperor Lee Gon tries to close the doors to a parallel world which was opened by demons; a detective tries to protect the people and the one she loves.,The King: Eternal Monarch
"The age of enlightenment, parents and children learn together. [1] Baby's growth starts from many first time, the first time to learn to speak, the first time to learn to walk. ""Super baby JOJO"" is a nursery rhyme designed for 1-3-year-old babies. It is designed for 1-3-year-old babies. It attracts babies to imitate and learn from the common scenes and interesting events in their growth and life, and stimulates their language expression and exploration desire. To help children learn and understand the world at the right age, support parents to easily raise children, encourage parents to appreciate together, and accompany their children to grow up happily.",Super JoJo
"Misa has been a supporting character all her life, blindly trusting her best friend and husband. When she discovers their affair, the betrayal results in her death. Waking up ten years in the past, Misa vows to become the main character of her own story. She plans to ruin her betrayers by making them marry each other, but after meeting her director at work, starts to consider who she truly is.",Marry My Husband: Japan
,Gym Tony
,Luxury Trap
"The tranquility in a serene, wealthy community inhabited by some of the world's most prominent individuals explodes when a shocking murder occurs and a high stakes investigation unfolds.",Paradise
"Naoya Mukai has loved Saki Saki since grade school, and when she finally accepts his feelings, he's at his happiest. But one day, a cute girl named Nagisa Minase confesses to him! Not wishing to choose only one over another, Naoya chooses to go out with both of them!! What will be of this love triangle that challenges morality itself?","Girlfriend, Girlfriend"
Cast members work together to escape a secret room.,Great Escape
"Taiyo Asano has been on his own ever since his parents died and the only one who seems to care for him is his childhood friend and classmate, Mutsumi Yozakura. But Mutsumi has a secret—she is the head of a family of spies! And on top of that, her brother Kyoichiro is dangerously protective of her! To stop Kyoichiro from killing him, Taiyo and Mutsumi must take the ultimate leap—marriage! Because in the Yozakura family, family cannot kill family.",Mission: Yozakura Family
"The Angry Beavers is an American animated television series created by Mitch Schauer for the Nickelodeon channel. The series revolves around Daggett and Norbert Beaver, two young beaver brothers who have left their home to become bachelors in the forest near the fictional Wayouttatown, Oregon.",The Angry Beavers
"The Bob Hope Show hosted by Bob Hope, debuted on April 9, 1950. During the 1952-1953 season, NBC rotated with other variety shows in a Sunday night block known as ""The Colgate Comedy Hour"" (Sept. 1950 to Dec. 1955). Also known as, ""The Chevy Show with Bob Hope."" When the first special debuted in October of 1950 it was the most expensive television program made up to that point - costing an astronomical $1,500 a minute to produce. Bob Hope had his own television show and radio show at the same time. For the next three seasons, The Bob Hope Show was broadcast once a month on Tuesday nights, giving Milton Berle a week off. Bob ended his radio show in April, 1956. Bob Hope also had another show by a similar name, ""The Bob Hope Show (All Star Revue)"". In addition, he performed in ""Specials"" for many years. It is the longest running variety program in television's history with a record of 45 years of televised entertainment.",The Bob Hope Show
"Pebble Mill was a re-launched version of the 1970s daily chat show Pebble Mill (also known as Pebble Mill At One for a while) which aired on BBC1 in the United Kingdom. The series premiered on October 14, 1991. The show was a mixture of celebrity guests and music. Alan Titchmarsh was a presenter on the show throughout it's complete run. Other presenters included Judi Spiers, Gloria Hunniford and Ross King.",Pebble Mill
"The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past.",Violet Evergarden
"New CE 2012. the mysterious organization Vagras aims to threaten the city by stealing the Enetron which is a new power source supporting people’s life. It's up to the Go-Busters to protect the city alongside their partners, the Buddyroids.",Tokumei Sentai Go-Busters
"The New Alfred Hitchcock Presents is an American anthology series that aired on NBC from 1985 to 1986, and on the USA Network from 1987 to 1989. The series is an updated re-imagining of the classic 1955 series Alfred Hitchcock Presents.",The New Alfred Hitchcock Presents
Follow the everyday work of a fictional police station on the Kiez of Hamburg.,Großstadtrevier
"A public affairs show hosted by Mario Dumont. With an experienced team backing him up, Dumont proposes news stories, conducts interviews with citizens and players in the news, and provides his own comments, which are the fruit of his most recent observations.",Dumont
"Sitcom following a successful African-American couple, George and Louise “Weezyö Jefferson as they “move on up” from working-class Queens to a ritzy Manhattan apartment. A spin-off of All in the Family.",The Jeffersons
"Mitsuo encountered Superman, an alien who is a part of a federation that tries to maintain peace in the galaxy. He then received a helmet (that also serves as a mask) that gives superhuman strength, a cape that enables the wearer to fly, and a badge that allows him to breathe underwater and communicate with his fellow comrades whom he met soon after he utilized these gifts. Superman made it clear to all Permans that their identity must be kept a secret or their brain will be destroyed should it ever be revealed and they are given a special doppelganger robot that can replace them while they are away to achieve this feat, although it is not entirely foolproof nor is it free from potential problems. These equipments then allowed them to be young Permans who try to maintain peace and help the people who are in need.",SUPERKID
MasterChef Australia is a Logie Award-winning Australian competitive cooking game show based on the original British MasterChef. It is produced by Shine Australia and screens on Network Ten.,MasterChef Australia
"After a devastating toxic snowfall kills millions, Juan Salvo and a group of survivors in Buenos Aires must resist an invisible threat from another world.",The Eternaut
《인어 아가씨》는 MBC에서 2002년 6월 24일부터 2003년 6월 27일까지 246부작으로 방영되었던 드라마이다.,Story of a Mermaid
"Güldür Güldür Show, which has won the admiration of everyone with its legendary cast, continues to bring a new approach to many topics from family to love, fame to technology, football to friendship with its unique sense of humour.",Güldür Güldür Show
The Guns of Will Sonnett is a Western television series,The Guns of Will Sonnett
"This documentary series, made in partnership with Vox, explain some of the world's current trends, from politics, to science to pop culture.",Explained
"This is a gentle tale about people trying to regain something. And it is a tale of battle. Rei Kiriyama had lost his family in an accident when he was young. Now he is a 17-year-old pro shogi player who is burdened with deep loneliness. Rei lives alone in an old town in Tokyo, but after becoming acquainted with three sisters, Akari, Hinata and Momo, he begins to change little by little...",March Comes In Like a Lion
"When mysterious alien spheres start invading the world, high school students are called upon to join the world’s first war against extraterrestrial forces.",Duty After School
"The Colgate Comedy Hour is an American comedy-musical variety series that aired live on the NBC network from 1950 to 1955. The show starred many notable comedians and entertainers of the era, including Eddie Cantor, Dean Martin and Jerry Lewis, Fred Allen, Donald O'Connor, Bud Abbott and Lou Costello, Bob Hope, Jimmy Durante, Ray Bolger, Gordon MacRae, Ben Blue, Robert Paige, Tony Curtis, Burt Lancaster, Broadway dancer Wayne Lamb and Spike Jones and His City Slickers.",The Colgate Comedy Hour
Allie Fox—a brilliant inventor and stubborn idealist—uproots his family for a dangerous quest through Mexico to flee the U.S. government and find safety.,The Mosquito Coast
"Bob the Builder and his machine team are ready to tackle any project. Bob and the Can-Do Crew demonstrate the power of positive thinking, problem-solving, teamwork, and follow-through. The team always shows that “The Fun Is In Getting It Done!”",Bob the Builder
"The story centers on Keitarou Gentouga, who has the ability to be a spirit medium. In junior high school, he got someone else wrapped up in a spirit possession incident, and he has been a shut-in for more than two years. As he reintroduces himself to society as a private tutor, he meets a genius girl named Yayoi Houzuki. Yayoi is instantly able to tell that Keitarou has skill as a spirit medium, and she invites him to go with her to a haunted location. The two then start their journey capturing evil spirits.",Dark Gathering
"After target panic drives him from archery in middle school, Minato decides to return to the sport when his friends join the high school kyudo club.",Tsurune
"Yaiba's journey to becoming a true samurai takes him from his home in the forest to a bustling city full of rivals, friends and ancient powers.",YAIBA: Samurai Legend
"The Young Bucks, Matt & Nick Jackson, along with Kenny ""The Cleaner"" Omega, make up The ELITE. Follow our adventures as WE RULE THE WORLD and dominate the professional wrestling business.",Being The Elite
"La Femme Nikita was a Canadian action/drama television series based on the French film Nikita by Luc Besson. The series was co-produced by Jay Firestone of Fireworks Entertainment and Warner Bros.. It was adapted for television by Joel Surnow. The series was first telecast in North America on the USA Network cable channel on January 13, 1997, and ran for five television seasons—until March 2001. The series was also aired in Canada on the over-the-air CTV Television Network. La Femme Nikita was the highest-rated drama on American basic cable during its first two seasons. It was also distributed in some other countries, and it continues to have a strong cult following.",La Femme Nikita
